2018-01-26,2182,LGA,189
2018-03-21,2099,CLT,133
2018-09-03,1010,STL,107
2018-04-08,43,DTW,131
2018-09-11,1269,MCI,103
2018-10-14,2308,SMF,238
2018-02-21,1172,BOS,197
2018-03-11,1313,JFK,206
2018-01-24,1402,SEA,256
2018-07-24,2464,SNA,194
2018-10-17,1258,ORD,130
2018-05-02,2042,CLT,149
2018-06-03,1628,JAX,136
2018-02-12,1708,LAX,215
2018-10-26,2093,PHL,177
2018-05-07,1620,DEN,120
2018-07-11,1135,ORD,136
2018-09-16,792,PHL,187
2018-05-20,1484,AUS,0
2018-01-21,2569,MKE,124
2018-02-17,2541,IAD,148
2018-04-27,2479,LAS,180
2018-07-27,1608,LGA,192
2018-04-19,2289,LAS,204
2018-05-25,299,TUL,60
2018-05-06,2425,LAX,239
2018-04-03,1268,SAT,73
2018-08-23,2752,DCA,167
2018-06-22,972,DCA,180
2018-08-14,2567,MIA,166
2018-05-13,103,SJC,222
2018-02-23,1251,ICT,71
2018-10-11,1097,TUS,164
2018-07-27,520,PHX,154
2018-04-29,2698,ONT,194
2018-02-20,2445,JAC,189
2018-05-27,306,IND,117
2018-08-08,2088,CLT,146
2018-02-19,2768,SFO,224
2018-05-19,1435,CLT,150
2018-08-15,165,EGE,125
2018-07-17,896,SEA,258
2018-10-05,2424,LAX,220
2018-05-30,2577,OKC,57
2018-09-25,323,DCA,175
2018-02-02,2511,ABQ,106
2018-08-11,1195,MIA,178
2018-08-02,344,SLC,163
2018-04-12,2197,CLE,163
2018-05-23,1414,AUS,59
2018-06-05,1926,MCI,104
2018-05-21,1425,DTW,148
2018-05-11,1094,BOS,220
2018-01-14,1300,MSY,69
2018-10-28,1175,SFO,225
2018-08-16,520,PHX,151
2018-08-06,2755,SEA,261
2018-02-20,2377,TUS,272
2018-10-05,2014,PHX,146
2018-10-30,1281,DSM,98
2018-10-29,1245,MSP,141
2018-04-30,2511,ABQ,102
2018-07-18,2707,AUS,56
2018-09-06,2356,RDU,175
2018-01-25,2429,SAT,56
2018-08-11,7,OGG,484
2018-10-17,1445,VPS,135
2018-09-30,1612,GSP,130
2018-01-03,2385,SAT,68
2018-04-26,1583,TUS,136
2018-05-05,295,SAN,188
2018-01-29,1349,SEA,270
2018-04-28,1992,OKC,60
2018-03-28,323,STL,101
2018-08-10,2271,PBI,158
2018-05-08,1043,RDU,164
2018-05-01,2745,SJC,212
2018-06-05,2043,ORD,186
2018-03-10,1758,CHS,141
2018-02-15,1606,RDU,153
2018-05-12,1347,SAT,71
2018-08-02,2745,RDU,161
2018-03-04,2294,OMA,116
2018-08-11,1223,RNO,197
2018-05-31,2231,OKC,67
2018-05-01,884,LAS,165
2018-06-23,1207,LGA,174
2018-02-08,1213,SAT,63
2018-10-26,2437,LAX,188
2018-07-29,2389,PNS,120
2018-01-10,1312,CLT,143
2018-10-23,35,SAT,63
2018-06-17,1011,LGA,207
2018-08-11,520,PHX,0
2018-03-10,2425,LAX,206
2018-01-30,2030,OKC,72
2018-07-23,1135,ORD,146
2018-01-18,1450,AUS,52
2018-05-29,2302,MSY,77
2018-03-17,2385,SAT,78
2018-06-11,2508,DTW,168
2018-10-10,1282,SAT,68
2018-01-11,1199,SAT,76
2018-07-23,1605,RDU,161
2018-02-06,952,EWR,191
2018-02-12,702,PHL,183
2018-06-10,514,CLT,154
2018-06-24,2615,BZN,185
2018-01-28,1342,TPA,141
2018-01-12,2299,BNA,105
2018-07-27,1483,BOS,206
2018-09-29,320,ORF,182
2018-04-09,2336,MIA,166
2018-09-26,919,FLL,174
2018-05-31,2630,RIC,183
2018-06-11,1834,SBA,207
2018-10-12,2685,DEN,120
2018-04-21,1435,CLT,149
2018-03-01,2260,PSP,198
2018-03-08,1275,GUC,132
2018-04-10,2209,ICT,75
2018-03-29,2208,CLE,146
2018-09-14,1596,OKC,62
2018-05-01,2612,ELP,97
2018-01-31,1221,AUS,62
2018-06-08,2483,TUS,0
2018-09-10,75,SFO,211
2018-07-17,190,SAV,147
2018-05-18,925,LGA,207
2018-05-01,2397,MSY,76
2018-10-13,2609,LAS,0
2018-07-21,2694,IAH,61
2018-07-11,2203,MSP,142
2018-06-03,2697,ONT,177
2018-02-03,420,JAC,194
2018-10-01,2724,SNA,195
2018-09-05,2223,ORD,178
2018-02-01,2363,MIA,153
2018-07-09,379,CLT,149
2018-10-18,1260,SFO,221
2018-06-09,2591,SAT,64
2018-05-21,2260,PSP,173
2018-03-11,2621,DCA,169
2018-01-22,1349,SEA,279
2018-02-08,2673,BNA,105
2018-01-02,2195,BOI,195
2018-08-22,315,DTW,150
2018-02-11,1294,JFK,254
2018-05-15,2490,BDL,201
2018-07-16,2636,AUS,52
2018-05-29,2560,DEN,119
2018-07-22,311,SAT,47
2018-03-11,2339,SEA,257
2018-10-13,1009,BNA,0
2018-05-30,390,SNA,192
2018-09-28,1326,AUS,52
2018-07-16,2531,BOI,187
2018-01-03,2377,TUS,136
2018-08-09,1258,ORD,144
2018-02-15,560,PHL,173
2018-01-08,952,EWR,211
2018-06-21,2810,COS,137
2018-03-12,349,SFO,226
2018-06-08,1578,MSP,134
2018-02-15,2214,CLE,149
2018-06-29,2256,TPA,143
2018-08-19,2404,AUS,52
2018-05-19,138,ICT,74
2018-03-12,2377,TUS,172
2018-10-22,344,SLC,162
2018-06-15,2225,FAT,199
2018-04-07,2610,ABQ,112
2018-07-09,2348,DCA,178
2018-05-29,344,SEA,250
2018-02-28,1934,SAV,247
2018-05-24,2809,PHX,154
2018-03-23,2529,HDN,0
2018-05-12,2260,PSP,174
2018-01-25,2481,SJU,261
2018-06-24,2515,SJU,282
2018-09-15,1541,CLE,146
2018-07-09,1085,LAX,174
2018-09-24,2683,SFO,217
2018-09-09,333,ATL,136
2018-09-30,1607,CLE,170
2018-03-05,2677,SLC,187
2018-04-16,2257,ELP,93
2018-06-11,454,LAS,167
2018-05-19,2695,IAD,183
2018-08-04,2610,CVG,124
2018-06-21,2743,ELP,93
2018-05-23,2623,TPA,149
2018-07-28,2332,BNA,106
2018-06-20,374,MCI,85
2018-03-10,1349,SEA,263
2018-02-17,2429,SAT,67
2018-09-18,2628,OMA,99
2018-02-12,1758,CHS,141
2018-01-06,2563,IAH,62
2018-03-06,2336,MIA,147
2018-08-24,2710,TUS,140
2018-06-26,1758,MEM,87
2018-01-31,1647,PDX,265
2018-02-17,1258,ORD,127
2018-07-27,1203,LAS,176
2018-10-13,1435,AUS,71
2018-07-28,1524,SNA,186
2018-04-09,2043,ORD,131
2018-07-18,2292,BZN,177
2018-01-25,2262,LAS,176
2018-09-04,854,PHX,148
2018-03-09,2549,OMA,112
2018-07-19,34,EWR,211
2018-10-11,1401,LAS,179
2018-08-22,2550,MIA,178
2018-10-20,2537,DTW,140
2018-05-26,1212,MCO,164
2018-02-10,2680,MIA,152
2018-06-02,2214,ABQ,111
2018-08-01,972,LAS,169
2018-10-23,1155,RDU,155
2018-06-22,75,SFO,245
2018-10-24,1283,STL,92
2018-04-29,2408,ATL,122
2018-07-26,2345,MKE,151
2018-08-06,84,LAX,181
2018-06-27,1180,FLL,176
2018-10-21,1458,OKC,67
2018-07-29,195,IAD,174
2018-10-25,2014,PHX,149
2018-08-06,1205,AUS,46
2018-09-09,1305,JAX,136
2018-05-11,1426,PIT,161
2018-04-06,585,PHL,185
2018-01-19,513,PHX,160
2018-09-13,1166,BNA,98
